athlete,gender,region,wod,score,rank,overall_score,overall_rank
Kristine Best,f,northeast,14_4,182,192,398,38
Maria Vulcano,f,northeast,14_4,184,136,395,37
Ayn Toppin,f,northeast,14_4,184,142,447,47
melissa smith,f,northeast,14_4,184,131,454,50
Tracy O'Donnell,f,northeast,14_4,185,100,243,18
Alice Efland,f,northeast,14_4,185,124,448,48
Miwa Andrus,f,northeast,14_4,185,112,458,51
Jaime Vanacore,f,northeast,14_4,185,103,521,59
Cady Hart,f,northeast,14_4,185,108,523,60
Lisa Mikkelsen,f,northeast,14_4,186,86,404,39
Amy Mandelbaum,f,northeast,14_4,186,89,453,49
Kristen Graham,f,northeast,14_4,186,87,513,57
Michele Sano,f,northeast,14_4,186,94,515,58
christina morris,f,northeast,14_4,187,74,222,14
Lauren Conner,f,northeast,14_4,187,62,227,15
Elizabeth Adams,f,northeast,14_4,187,65,260,20
Christie Choma,f,northeast,14_4,187,70,299,24
Vanessa Whiting,f,northeast,14_4,187,63,317,29
Keri Ann Koegel,f,northeast,14_4,187,75,376,35
Kassandra Aveni,f,northeast,14_4,187,67,437,44
Abby Graham,f,northeast,14_4,187,76,466,52
Kate Denny,f,northeast,14_4,187,64,473,53
Nancy Kegelman,f,northeast,14_4,187,71,486,54
Carla Bezold,f,northeast,14_4,188,49,326,32
Jennifer Hunter-Marshall,f,northeast,14_4,188,61,349,33
Jessa Lemoine,f,northeast,14_4,188,47,430,42
Kelly Steadman,f,northeast,14_4,188,57,433,43
Keidy Toomey,f,northeast,14_4,189,37,316,28
Elizabeth Warren,f,northeast,14_4,189,35,325,31
Jennifer Lesniak,f,northeast,14_4,189,38,419,41
Karianne Dickson,f,northeast,14_4,189,36,446,45
Angela Kamendulis,f,northeast,14_4,190,33,119,7
Jenny Davis,f,northeast,14_4,190,29,157,10
Megin Oczkowski,f,northeast,14_4,190,31,209,12
Michelle Kercado,f,northeast,14_4,190,30,242,17
kylee claxton,f,northeast,14_4,190,28,304,26
Lizzy Smith,f,northeast,14_4,190,27,307,27
Kaitlyn Fitzgerald,f,northeast,14_4,190,34,489,55
Erica Pollock,f,northeast,14_4,191,17,121,8
Kristen Kane,f,northeast,14_4,191,24,320,30
Michelle Fountain,f,northeast,14_4,191,19,358,34
Allyson Bushey,f,northeast,14_4,191,20,376,35
Elizabeth Rogers,f,northeast,14_4,191,23,409,40
Alicia Gomes,f,northeast,14_4,191,25,446,45
Sarah Scholl,f,northeast,14_4,192,11,64,3
Katelyn Schuh,f,northeast,14_4,192,12,90,5
Tiffany Szemplinski,f,northeast,14_4,192,14,187,11
Lauren Plumey,f,northeast,14_4,192,16,261,21
Emmy Simpkins,f,northeast,14_4,192,13,278,22
Rachel Martinez,f,northeast,14_4,193,9,117,6
Stacey Kroon,f,northeast,14_4,194,8,129,9
Cheryl Nasso,f,northeast,14_4,195,6,33,2
Sheila Barden,f,northeast,14_4,195,7,210,13
Kaleena Ladeairous,f,northeast,14_4,196,4,20,1
Molly Abgarian,f,northeast,14_4,196,5,288,23
Sara Hill Mass,f,northeast,14_4,197,3,243,18
Dani Horan,f,northeast,14_4,198,2,80,4
Rachel Goldenberg,f,northeast,14_4,200,1,233,16
Sheila Barden,f,northeast,14_5,NA,1,210,13
Cheryl Nasso,f,northeast,14_5,NA,2,33,2
Kristine Best,f,northeast,14_5,NA,3,398,38
Christie Choma,f,northeast,14_5,NA,4,299,24
Lauren Conner,f,northeast,14_5,NA,6,227,15
Kaleena Ladeairous,f,northeast,14_5,NA,7,20,1
Rachel Martinez,f,northeast,14_5,NA,8,117,6
Lizzy Smith,f,northeast,14_5,NA,9,307,27
Sarah Scholl,f,northeast,14_5,NA,10,64,3
Stacey Kroon,f,northeast,14_5,NA,12,129,9
Kelly Munroe,f,northeast,14_5,NA,15,300,25
Tracy O'Donnell,f,northeast,14_5,NA,16,243,18
Katelyn Schuh,f,northeast,14_5,NA,18,90,5
Emmy Simpkins,f,northeast,14_5,NA,19,278,22
Angela Kamendulis,f,northeast,14_5,NA,21,119,7
Molly Abgarian,f,northeast,14_5,NA,23,288,23
Alicia Gomes,f,northeast,14_5,NA,23,446,45
Dani Horan,f,northeast,14_5,NA,25,80,4
Keidy Toomey,f,northeast,14_5,NA,28,316,28
Megin Oczkowski,f,northeast,14_5,NA,29,209,12
Tiffany Szemplinski,f,northeast,14_5,NA,30,187,11
Michelle Kercado,f,northeast,14_5,NA,32,242,17
Allyson Bushey,f,northeast,14_5,NA,32,376,35
Erica Pollock,f,northeast,14_5,NA,34,121,8
Kassandra Aveni,f,northeast,14_5,NA,36,437,44
Elizabeth Adams,f,northeast,14_5,NA,37,260,20
Jenny Davis,f,northeast,14_5,NA,39,157,10
Miwa Andrus,f,northeast,14_5,NA,39,458,51
Elizabeth Rogers,f,northeast,14_5,NA,41,409,40
melissa smith,f,northeast,14_5,NA,41,454,50
Sara Hill Mass,f,northeast,14_5,NA,44,243,18
Maria Vulcano,f,northeast,14_5,NA,46,395,37
Kristen Graham,f,northeast,14_5,NA,46,513,57
Carla Bezold,f,northeast,14_5,NA,49,326,32
Vanessa Whiting,f,northeast,14_5,NA,52,317,29
Keri Ann Koegel,f,northeast,14_5,NA,55,376,35
christina morris,f,northeast,14_5,NA,65,222,14
Jaime Vanacore,f,northeast,14_5,NA,68,521,59
Kristen Kane,f,northeast,14_5,NA,83,320,30
kylee claxton,f,northeast,14_5,NA,84,304,26
Jennifer Lesniak,f,northeast,14_5,NA,87,419,41
Karianne Dickson,f,northeast,14_5,NA,89,446,45
Michelle Fountain,f,northeast,14_5,NA,93,358,34
Kaitlyn Fitzgerald,f,northeast,14_5,NA,97,489,55
Michele Sano,f,northeast,14_5,NA,101,515,58
Jennifer Hunter-Marshall,f,northeast,14_5,NA,103,349,33
Ayn Toppin,f,northeast,14_5,NA,127,447,47
Rachel Goldenberg,f,northeast,14_5,NA,130,233,16
Cady Hart,f,northeast,14_5,NA,130,523,60
Elizabeth Warren,f,northeast,14_5,NA,133,325,31
Alice Efland,f,northeast,14_5,NA,145,448,48
Kate Denny,f,northeast,14_5,NA,150,473,53
Nancy Kegelman,f,northeast,14_5,NA,152,486,54
Andrea Cooke,f,northeast,14_5,NA,159,509,56
Amy Mandelbaum,f,northeast,14_5,NA,163,453,49
Lisa Mikkelsen,f,northeast,14_5,NA,166,404,39
Kelly Steadman,f,northeast,14_5,NA,184,433,43
Lauren Plumey,f,northeast,14_5,NA,190,261,21
Jessa Lemoine,f,northeast,14_5,NA,195,430,42
Abby Graham,f,northeast,14_5,NA,211,466,52
Brittany Williams,f,northerncalifornia,14_1,311,175,340,52
Alicia Rocha,f,northerncalifornia,14_1,311,175,377,56
Kirstie Arnaiz,f,northerncalifornia,14_1,313,159,372,55
Ashley Albano,f,northerncalifornia,14_1,323,123,320,47
Kate Brierley,f,northerncalifornia,14_1,340,98,395,59
Valerie Calhoun,f,northerncalifornia,14_1,345,83,162,20
michaela xavier,f,northerncalifornia,14_1,345,83,382,57
Kelly Edelmann,f,northerncalifornia,14_1,346,80,394,58
Cheri Felisilda,f,northerncalifornia,14_1,347,76,201,24
Miranda Oldroyd,f,northerncalifornia,14_1,348,74,211,26
Lisa Rendic,f,northerncalifornia,14_1,349,70,264,35
Michelle Maehler,f,northerncalifornia,14_1,349,70,314,45
Elyse Umeda,f,northerncalifornia,14_1,350,64,94,9
Jennie McKernan,f,northerncalifornia,14_1,350,64,257,33
Lauren Jirges,f,northerncalifornia,14_1,350,64,332,50
Casey Hutnick,f,northerncalifornia,14_1,351,61,283,38
Amanda Norton,f,northerncalifornia,14_1,351,61,284,39
Annie Sakamoto,f,northerncalifornia,14_1,352,54,151,18
Rosa Barron,f,northerncalifornia,14_1,352,54,273,36
Lisa Warren,f,northerncalifornia,14_1,352,54,285,40
Jen Cadmus,f,northerncalifornia,14_1,353,48,215,27
Jackie Perez,f,northerncalifornia,14_1,353,48,304,44
Stephanie Smith,f,northerncalifornia,14_1,353,48,404,60
Cheryl Brost,f,northerncalifornia,14_1,354,44,141,15
Eleni Frediani,f,northerncalifornia,14_1,354,44,260,34
Brooke Ence,f,northerncalifornia,14_1,355,40,92,7
Breanne Feudale,f,northerncalifornia,14_1,355,40,215,27
crystal mcreynolds,f,northerncalifornia,14_1,355,40,231,30
Sarah Pierce,f,northerncalifornia,14_1,355,40,276,37
Abbey Sloulin,f,northerncalifornia,14_1,357,36,291,41
Brittanie Williamson,f,northerncalifornia,14_1,357,36,326,49
Alessandra Pichelli,f,northerncalifornia,14_1,359,33,55,3
Lori Ramirez,f,northerncalifornia,14_1,359,33,322,48
Chyna Cho,f,northerncalifornia,14_1,360,27,92,7
Courtney Walker,f,northerncalifornia,14_1,360,27,209,25
Liz Santos,f,northerncalifornia,14_1,360,27,232,31
Ashley Bakken,f,northerncalifornia,14_1,361,26,200,23
Crista Jorgensen,f,northerncalifornia,14_1,370,25,163,21
Kirsten Pedri,f,northerncalifornia,14_1,371,23,155,19
Liz Terry,f,northerncalifornia,14_1,371,23,362,53
Rebecca Delaney,f,northerncalifornia,14_1,373,22,134,13
Stephanie Perez,f,northerncalifornia,14_1,375,21,95,10
Jhauna Dyer,f,northerncalifornia,14_1,378,20,225,29
Jenna Collins,f,northerncalifornia,14_1,385,19,294,42
Chelsea Ryan,f,northerncalifornia,14_1,389,16,318,46
Colleen Fotsch,f,northerncalifornia,14_1,389,16,335,51
Molly Vollmer,f,northerncalifornia,14_1,391,11,116,11
Coral Lloyd,f,northerncalifornia,14_1,391,11,141,15
Charis Chan,f,northerncalifornia,14_1,391,11,254,32
Vanessa Santillan,f,northerncalifornia,14_1,391,11,369,54
Jenny LaBaw,f,northerncalifornia,14_1,392,10,91,5
Meg Reardon,f,northerncalifornia,14_1,393,9,171,22
Jessica Fitzgibbons,f,northerncalifornia,14_1,395,8,139,14
Katie Hogan,f,northerncalifornia,14_1,396,7,122,12
Brandy Richardson,f,northerncalifornia,14_1,397,6,91,5
Kyla Evers,f,northerncalifornia,14_1,398,5,88,4
Whitney Heuser,f,northerncalifornia,14_1,399,4,45,2
Margaux Alvarez,f,northerncalifornia,14_1,402,3,43,1
Ana C. Caldas,f,northerncalifornia,14_1,404,2,299,43
Sara McRoberts,f,northerncalifornia,14_1,406,1,142,17
Liz Terry,f,northerncalifornia,14_2,130,220,362,53
Ana C. Caldas,f,northerncalifornia,14_2,135,169,299,43
Jenna Collins,f,northerncalifornia,14_2,137,147,294,42
Colleen Fotsch,f,northerncalifornia,14_2,137,147,335,51
Meg Reardon,f,northerncalifornia,14_2,141,110,171,22
Kelly Edelmann,f,northerncalifornia,14_2,143,98,394,58
michaela xavier,f,northerncalifornia,14_2,176,81,382,57
Abbey Sloulin,f,northerncalifornia,14_2,182,77,291,41
Stephanie Smith,f,northerncalifornia,14_2,183,74,404,60
Kirstie Arnaiz,f,northerncalifornia,14_2,184,71,372,55
Lauren Jirges,f,northerncalifornia,14_2,186,67,332,50
Kate Brierley,f,northerncalifornia,14_2,188,63,395,59
Lisa Rendic,f,northerncalifornia,14_2,189,61,264,35
Chelsea Ryan,f,northerncalifornia,14_2,189,61,318,46
Sara McRoberts,f,northerncalifornia,14_2,192,55,142,17
Brittanie Williamson,f,northerncalifornia,14_2,192,55,326,49
Molly Vollmer,f,northerncalifornia,14_2,193,53,116,11
Lori Ramirez,f,northerncalifornia,14_2,193,53,322,48
crystal mcreynolds,f,northerncalifornia,14_2,194,52,231,30
Kyla Evers,f,northerncalifornia,14_2,195,47,88,4
Katie Hogan,f,northerncalifornia,14_2,195,47,122,12
Jhauna Dyer,f,northerncalifornia,14_2,195,47,225,29
Ashley Albano,f,northerncalifornia,14_2,195,47,320,47
Jessica Fitzgibbons,f,northerncalifornia,14_2,196,44,139,14
Miranda Oldroyd,f,northerncalifornia,14_2,196,44,211,26
Cheri Felisilda,f,northerncalifornia,14_2,197,39,201,24
Charis Chan,f,northerncalifornia,14_2,197,39,254,32
Sarah Pierce,f,northerncalifornia,14_2,197,39,276,37
Jenny LaBaw,f,northerncalifornia,14_2,198,34,91,5
Amanda Norton,f,northerncalifornia,14_2,198,34,284,39
Lisa Warren,f,northerncalifornia,14_2,198,34,285,40
Vanessa Santillan,f,northerncalifornia,14_2,198,34,369,54
Brandy Richardson,f,northerncalifornia,14_2,199,33,91,5
Breanne Feudale,f,northerncalifornia,14_2,200,31,215,27
Michelle Maehler,f,northerncalifornia,14_2,201,28,314,45
Liz Santos,f,northerncalifornia,14_2,202,27,232,31
Ashley Bakken,f,northerncalifornia,14_2,203,26,200,23
Jennie McKernan,f,northerncalifornia,14_2,205,22,257,33
Rosa Barron,f,northerncalifornia,14_2,205,22,273,36
Casey Hutnick,f,northerncalifornia,14_2,206,21,283,38
Jen Cadmus,f,northerncalifornia,14_2,207,20,215,27
Coral Lloyd,f,northerncalifornia,14_2,238,19,141,15
Margaux Alvarez,f,northerncalifornia,14_2,239,18,43,1
Cheryl Brost,f,northerncalifornia,14_2,241,17,141,15
Crista Jorgensen,f,northerncalifornia,14_2,243,16,163,21
Eleni Frediani,f,northerncalifornia,14_2,247,15,260,34
Rebecca Delaney,f,northerncalifornia,14_2,250,13,134,13
Kirsten Pedri,f,northerncalifornia,14_2,250,13,155,19
Alicia Rocha,f,northerncalifornia,14_2,251,12,377,56
Brooke Ence,f,northerncalifornia,14_2,256,10,92,7
Jackie Perez,f,northerncalifornia,14_2,256,10,304,44
Stephanie Perez,f,northerncalifornia,14_2,257,9,95,10
Brittany Williams,f,northerncalifornia,14_2,259,8,340,52
Chyna Cho,f,northerncalifornia,14_2,261,6,92,7
Courtney Walker,f,northerncalifornia,14_2,261,6,209,25
Whitney Heuser,f,northerncalifornia,14_2,269,5,45,2
Alessandra Pichelli,f,northerncalifornia,14_2,271,3,55,3
Annie Sakamoto,f,northerncalifornia,14_2,271,3,151,18
Valerie Calhoun,f,northerncalifornia,14_2,312,2,162,20
Elyse Umeda,f,northerncalifornia,14_2,326,1,94,9
Vanessa Santillan,f,northerncalifornia,14_3,141,177,369,54
Courtney Walker,f,northerncalifornia,14_3,142,145,209,25
Jackie Perez,f,northerncalifornia,14_3,142,148,304,44
Eleni Frediani,f,northerncalifornia,14_3,144,128,260,34
Lori Ramirez,f,northerncalifornia,14_3,144,138,322,48
Rosa Barron,f,northerncalifornia,14_3,145,121,273,36
Amanda Norton,f,northerncalifornia,14_3,145,111,284,39
Ashley Albano,f,northerncalifornia,14_3,145,116,320,47
Brittanie Williamson,f,northerncalifornia,14_3,145,115,326,49
Lisa Warren,f,northerncalifornia,14_3,146,103,285,40
Brittany Williams,f,northerncalifornia,14_3,146,105,340,52
Kelly Edelmann,f,northerncalifornia,14_3,146,100,394,58
Stephanie Smith,f,northerncalifornia,14_3,146,104,404,60
Jen Cadmus,f,northerncalifornia,14_3,147,88,215,27
Lauren Jirges,f,northerncalifornia,14_3,147,86,332,50
Jhauna Dyer,f,northerncalifornia,14_3,148,82,225,29
crystal mcreynolds,f,northerncalifornia,14_3,148,85,231,30
Kirstie Arnaiz,f,northerncalifornia,14_3,148,81,372,55
Abbey Sloulin,f,northerncalifornia,14_3,149,72,291,41
Chelsea Ryan,f,northerncalifornia,14_3,149,77,318,46
Alicia Rocha,f,northerncalifornia,14_3,149,73,377,56
michaela xavier,f,northerncalifornia,14_3,149,74,382,57
Charis Chan,f,northerncalifornia,14_3,150,69,254,32
Annie Sakamoto,f,northerncalifornia,14_3,151,66,151,18
Crista Jorgensen,f,northerncalifornia,14_3,151,63,163,21
Ashley Bakken,f,northerncalifornia,14_3,151,64,200,23
Michelle Maehler,f,northerncalifornia,14_3,151,59,314,45
Chyna Cho,f,northerncalifornia,14_3,152,52,92,7
Kirsten Pedri,f,northerncalifornia,14_3,152,52,155,19
Lisa Rendic,f,northerncalifornia,14_3,152,57,264,35
Stephanie Perez,f,northerncalifornia,14_3,153,42,95,10
Valerie Calhoun,f,northerncalifornia,14_3,153,46,162,20
Liz Santos,f,northerncalifornia,14_3,153,44,232,31
Jenny LaBaw,f,northerncalifornia,14_3,154,40,91,5
Jennie McKernan,f,northerncalifornia,14_3,154,37,257,33
Casey Hutnick,f,northerncalifornia,14_3,154,41,283,38
Jenna Collins,f,northerncalifornia,14_3,154,36,294,42
Sarah Pierce,f,northerncalifornia,14_3,155,31,276,37
Colleen Fotsch,f,northerncalifornia,14_3,155,29,335,51
Kate Brierley,f,northerncalifornia,14_3,155,30,395,59
Rebecca Delaney,f,northerncalifornia,14_3,156,26,134,13
Miranda Oldroyd,f,northerncalifornia,14_3,156,24,211,26
Elyse Umeda,f,northerncalifornia,14_3,157,21,94,9
Jessica Fitzgibbons,f,northerncalifornia,14_3,157,22,139,14
Whitney Heuser,f,northerncalifornia,14_3,158,17,45,2
Brooke Ence,f,northerncalifornia,14_3,158,16,92,7
Cheryl Brost,f,northerncalifornia,14_3,158,20,141,15
Sara McRoberts,f,northerncalifornia,14_3,158,18,142,17
Breanne Feudale,f,northerncalifornia,14_3,158,15,215,27
Molly Vollmer,f,northerncalifornia,14_3,159,12,116,11
Coral Lloyd,f,northerncalifornia,14_3,159,13,141,15
Ana C. Caldas,f,northerncalifornia,14_3,159,14,299,43
Cheri Felisilda,f,northerncalifornia,14_3,160,11,201,24
Katie Hogan,f,northerncalifornia,14_3,161,10,122,12
Alessandra Pichelli,f,northerncalifornia,14_3,164,9,55,3
Margaux Alvarez,f,northerncalifornia,14_3,168,7,43,1
Liz Terry,f,northerncalifornia,14_3,169,6,362,53
Meg Reardon,f,northerncalifornia,14_3,176,3,171,22
Kyla Evers,f,northerncalifornia,14_3,179,2,88,4
Brandy Richardson,f,northerncalifornia,14_3,186,1,91,5
Jennie McKernan,f,northerncalifornia,14_4,183,121,257,33
Kate Brierley,f,northerncalifornia,14_4,184,108,395,59
Rebecca Delaney,f,northerncalifornia,14_4,186,71,134,13
Jhauna Dyer,f,northerncalifornia,14_4,186,73,225,29
Liz Santos,f,northerncalifornia,14_4,186,76,232,31
Michelle Maehler,f,northerncalifornia,14_4,186,75,314,45
Vanessa Santillan,f,northerncalifornia,14_4,186,81,369,54
michaela xavier,f,northerncalifornia,14_4,186,74,382,57
Coral Lloyd,f,northerncalifornia,14_4,187,56,141,15
Sara McRoberts,f,northerncalifornia,14_4,187,57,142,17
Cheri Felisilda,f,northerncalifornia,14_4,187,65,201,24
Breanne Feudale,f,northerncalifornia,14_4,187,70,215,27
Sarah Pierce,f,northerncalifornia,14_4,187,67,276,37
Abbey Sloulin,f,northerncalifornia,14_4,187,58,291,41
Ana C. Caldas,f,northerncalifornia,14_4,187,59,299,43
Liz Terry,f,northerncalifornia,14_4,187,66,362,53
Stephanie Smith,f,northerncalifornia,14_4,187,61,404,60
Jessica Fitzgibbons,f,northerncalifornia,14_4,188,45,139,14
Kirsten Pedri,f,northerncalifornia,14_4,188,48,155,19
Charis Chan,f,northerncalifornia,14_4,188,55,254,32
Casey Hutnick,f,northerncalifornia,14_4,188,49,283,38
Kirstie Arnaiz,f,northerncalifornia,14_4,188,52,372,55
Jen Cadmus,f,northerncalifornia,14_4,189,42,215,27
Eleni Frediani,f,northerncalifornia,14_4,189,37,260,34
Rosa Barron,f,northerncalifornia,14_4,189,41,273,36
Lauren Jirges,f,northerncalifornia,14_4,189,38,332,50
Colleen Fotsch,f,northerncalifornia,14_4,189,36,335,51
Alicia Rocha,f,northerncalifornia,14_4,189,44,377,56
Kelly Edelmann,f,northerncalifornia,14_4,189,39,394,58
Katie Hogan,f,northerncalifornia,14_4,190,31,122,12
Amanda Norton,f,northerncalifornia,14_4,190,33,284,39
Chelsea Ryan,f,northerncalifornia,14_4,190,32,318,46
Lori Ramirez,f,northerncalifornia,14_4,190,35,322,48
Brittanie Williamson,f,northerncalifornia,14_4,190,30,326,49
Kyla Evers,f,northerncalifornia,14_4,191,23,88,4
Meg Reardon,f,northerncalifornia,14_4,191,24,171,22
Ashley Bakken,f,northerncalifornia,14_4,191,29,200,23
Lisa Rendic,f,northerncalifornia,14_4,191,28,264,35
Jenna Collins,f,northerncalifornia,14_4,191,26,294,42
Jackie Perez,f,northerncalifornia,14_4,191,27,304,44
Cheryl Brost,f,northerncalifornia,14_4,192,17,141,15
Crista Jorgensen,f,northerncalifornia,14_4,192,20,163,21
Ashley Albano,f,northerncalifornia,14_4,192,18,320,47
Brittany Williams,f,northerncalifornia,14_4,192,22,340,52
Annie Sakamoto,f,northerncalifornia,14_4,193,15,151,18
Valerie Calhoun,f,northerncalifornia,14_4,193,16,162,20
Brandy Richardson,f,northerncalifornia,14_4,194,14,91,5
Margaux Alvarez,f,northerncalifornia,14_4,195,10,43,1
Whitney Heuser,f,northerncalifornia,14_4,195,12,45,2
Molly Vollmer,f,northerncalifornia,14_4,195,11,116,11
crystal mcreynolds,f,northerncalifornia,14_4,195,13,231,30
Miranda Oldroyd,f,northerncalifornia,14_4,196,9,211,26
Brooke Ence,f,northerncalifornia,14_4,197,4,92,7
Elyse Umeda,f,northerncalifornia,14_4,197,7,94,9
Stephanie Perez,f,northerncalifornia,14_4,197,6,95,10
Courtney Walker,f,northerncalifornia,14_4,197,5,209,25
Lisa Warren,f,northerncalifornia,14_4,197,8,285,40
Jenny LaBaw,f,northerncalifornia,14_4,198,3,91,5
Alessandra Pichelli,f,northerncalifornia,14_4,200,2,55,3
Chyna Cho,f,northerncalifornia,14_4,218,1,92,7
Elyse Umeda,f,northerncalifornia,14_5,NA,1,94,9
Rebecca Delaney,f,northerncalifornia,14_5,NA,2,134,13
Jhauna Dyer,f,northerncalifornia,14_5,NA,3,225,29
Jenny LaBaw,f,northerncalifornia,14_5,NA,4,91,5
Margaux Alvarez,f,northerncalifornia,14_5,NA,5,43,1
Chyna Cho,f,northerncalifornia,14_5,NA,6,92,7
Whitney Heuser,f,northerncalifornia,14_5,NA,7,45,2
Alessandra Pichelli,f,northerncalifornia,14_5,NA,8,55,3
Kirstie Arnaiz,f,northerncalifornia,14_5,NA,9,372,55
Cheri Felisilda,f,northerncalifornia,14_5,NA,10,201,24
Kyla Evers,f,northerncalifornia,14_5,NA,11,88,4
Sara McRoberts,f,northerncalifornia,14_5,NA,11,142,17
Annie Sakamoto,f,northerncalifornia,14_5,NA,13,151,18
Jennie McKernan,f,northerncalifornia,14_5,NA,13,257,33
Valerie Calhoun,f,northerncalifornia,14_5,NA,15,162,20
Ashley Albano,f,northerncalifornia,14_5,NA,16,320,47
Stephanie Perez,f,northerncalifornia,14_5,NA,17,95,10
Jen Cadmus,f,northerncalifornia,14_5,NA,17,215,27
Kirsten Pedri,f,northerncalifornia,14_5,NA,19,155,19
Jessica Fitzgibbons,f,northerncalifornia,14_5,NA,20,139,14
Brooke Ence,f,northerncalifornia,14_5,NA,22,92,7
Meg Reardon,f,northerncalifornia,14_5,NA,25,171,22
Courtney Walker,f,northerncalifornia,14_5,NA,26,209,25
Katie Hogan,f,northerncalifornia,14_5,NA,27,122,12
Molly Vollmer,f,northerncalifornia,14_5,NA,29,116,11
Brittany Williams,f,northerncalifornia,14_5,NA,30,340,52
Rosa Barron,f,northerncalifornia,14_5,NA,35,273,36
Eleni Frediani,f,northerncalifornia,14_5,NA,36,260,34
Brandy Richardson,f,northerncalifornia,14_5,NA,37,91,5
Crista Jorgensen,f,northerncalifornia,14_5,NA,39,163,21
crystal mcreynolds,f,northerncalifornia,14_5,NA,41,231,30
Coral Lloyd,f,northerncalifornia,14_5,NA,42,141,15
Cheryl Brost,f,northerncalifornia,14_5,NA,43,141,15
Amanda Norton,f,northerncalifornia,14_5,NA,45,284,39
Liz Terry,f,northerncalifornia,14_5,NA,47,362,53
Lisa Rendic,f,northerncalifornia,14_5,NA,48,264,35
Abbey Sloulin,f,northerncalifornia,14_5,NA,48,291,41
Ashley Bakken,f,northerncalifornia,14_5,NA,55,200,23
Ana C. Caldas,f,northerncalifornia,14_5,NA,55,299,43
Liz Santos,f,northerncalifornia,14_5,NA,58,232,31
Breanne Feudale,f,northerncalifornia,14_5,NA,59,215,27
Miranda Oldroyd,f,northerncalifornia,14_5,NA,60,211,26
Lori Ramirez,f,northerncalifornia,14_5,NA,63,322,48
Jenna Collins,f,northerncalifornia,14_5,NA,66,294,42
Vanessa Santillan,f,northerncalifornia,14_5,NA,66,369,54
michaela xavier,f,northerncalifornia,14_5,NA,70,382,57
Jackie Perez,f,northerncalifornia,14_5,NA,71,304,44
Alicia Rocha,f,northerncalifornia,14_5,NA,73,377,56
Lauren Jirges,f,northerncalifornia,14_5,NA,77,332,50
Kelly Edelmann,f,northerncalifornia,14_5,NA,77,394,58
Charis Chan,f,northerncalifornia,14_5,NA,80,254,32
Michelle Maehler,f,northerncalifornia,14_5,NA,82,314,45
Lisa Warren,f,northerncalifornia,14_5,NA,86,285,40
Brittanie Williamson,f,northerncalifornia,14_5,NA,90,326,49
Kate Brierley,f,northerncalifornia,14_5,NA,96,395,59
Sarah Pierce,f,northerncalifornia,14_5,NA,99,276,37
Colleen Fotsch,f,northerncalifornia,14_5,NA,107,335,51
Casey Hutnick,f,northerncalifornia,14_5,NA,111,283,38
